projectRef,Task,Start,End,Progress,Complete
PRJ-2025-001,Capture,1/02/2025,30/03/2025,90,TRUE
PRJ-2025-001,Ultramap Post Processing,11/04/2025,13/04/2025,10,FALSE
PRJ-2025-001,AT,14/04/2025,16/04/2025,5,FALSE
PRJ-2025-001,Orthos,21/04/2025,22/04/2025,0,FALSE
PGRM1234-Well,Capture,1/11/2025,5/11/2025,100,TRUE
PGRM1234-Well,Ultramap Post Processing,7/11/2025,14/11/2025,10,FALSE
PGRM1234-Well,AT,15/11/2025,25/11/2025,0,FALSE
PGRM1234-Well,Orthos,26/11/2025,6/12/2025,0,FALSE
PGRM1234-Hor,Capture,1/11/2025,9/11/2025,100,TRUE
PGRM1234-Tara,Capture,1/11/2025,9/11/2025,100,TRUE
PGRM1234-Bop,Capture,1/11/2025,31/12/2025,16,FALSE
PGRM3264,Capture,1/09/2025,5/11/2025,100,TRUE
PGRM3268,Capture,1/10/2025,31/03/2026,100,TRUE
PGRM3295-Ash,Capture,1/11/2025,30/04/2025,0,FALSE
PGRM3295-Mac,Capture,1/11/2025,30/04/2025,0,FALSE
PGRM3295-Tim,Capture,1/11/2025,30/04/2025,0,FALSE
